style,description,example_tags
Vintage/Retro,"Nostalgic palettes, worn textures, bold blocky typography, halftones.",retro vintage distressed faded halftone grain
Minimalist Line Art,"Clean lines, few colors, negative space, modern aesthetic.",minimal line-art monoline simple clean modern
Hand-Drawn Sketch,"Pencil/ink sketch look, visible strokes, organic forms.",hand-drawn sketch ink pencil rough organic
Watercolor,"Soft washes, gradients, painterly edges, airy feel.",watercolor wash soft gradient painterly
Anime/Manga,"High-contrast linework, expressive eyes, dynamic poses.",anime manga cel-shaded kawaii chibi
Streetwear/Graffiti,"Bold outlines, spray textures, urban motifs, graffiti tags.",streetwear graffiti urban spray-paint drip bold
Tattoo/Old School,"Thick outlines, limited palette, classic tattoo motifs.",tattoo old-school neo-traditional flash bold-outline
Comic Book Pop Art,"Ben-day dots, bold inking, speech bubbles, dynamic action.",pop-art comic ben-day dots halftone
Cyberpunk/Glitch,"Neon accents, chromatic aberration, glitch slices, tech motifs.",cyberpunk neon glitch holographic vaporwave
Retro Futurism,"80s synthwave gradients, grids, sunsets, chrome text.",synthwave outrun neon gradient vaporwave grid
Typography-Only,"Type-focused composition, expressive fonts, layout-driven.",typography lettering bold condensed slab serif sans
Geometric/Abstract,"Shapes, patterns, repetition, symmetry, optical effects.",geometric abstract pattern tessellation op-art
Nature Illustration,"Botanicals, wildlife, landscapes, textured shading.",botanical nature wildlife hand-drawn textured
Grunge/Distressed,"Rough textures, scuffs, stamps, vintage band tee vibe.",grunge distressed worn cracked texture
Painterly Oil/Acrylic,"Thick brush strokes, canvas texture, rich colors.",oil-paint acrylic impasto brush-strokes
Stencil/Silhouette,"High-contrast silhouette shapes, cutout look, few colors.",stencil silhouette cutout high-contrast
Pixel/8-bit,"Retro gaming pixel grids, limited palettes, chunky sprites.",pixel 8-bit low-res dithering retro-game
Kawaii/Cute,"Soft pastel palette, round shapes, adorable faces.",kawaii cute pastel chibi soft
Gothic/Dark Aesthetic,"Black-heavy palette, ornate flourishes, moody themes.",gothic dark baroque occult
Art Deco,"Elegant symmetry, metallic accents, geometric ornamentation.",art-deco gold geometric ornament
Art Nouveau,"Flowing lines, florals, decorative borders, organic curves.",art-nouveau floral flowing ornamental
Y2K/2000s,"Chrome, gradients, bubbly fonts, web 1.0 vibes.",Y2K chrome bevel gel bubbles
Retro Cartoon,"Rubber-hose limbs, vintage cartoon style, grain.",retro-cartoon rubber-hose vintage animation
Graffitti Tag/Handstyle,"Tag lettering, marker texture, throw-ups.",handstyle tag throwup graffiti
Photographic Collage,"Photo cutouts, textures, overlays, mixed media.",collage photo cutout overlay texture
Psychedelic,"Trippy patterns, warped type, vibrant gradients.",psychedelic trippy warp gradient
Western/Vintage Rodeo,"Desert motifs, western type, sun-faded palette.",western cowboy rodeo desert vintage
Marine/Nautical,"Waves, anchors, sea life, vintage navy style.",nautical marine anchor wave sailor
Sci-Fi Mech/Robot,"Mecha designs, panels, greebles, metallic shading.",mecha mech robot sci-fi panel lines
Skater/Punk,"Band-tee chaos, ransom type, sticker-bombed collage.",punk skater zine ransom sticker-bomb
Cottagecore,"Whimsical flora/fauna, cozy earthy palette, embroidery feel.",cottagecore cozy floral mushroom
